score,percentile
1600,99+
1590,99+
1580,99+
1570,99+
1560,99+
1550,99
1540,99
1530,99
1520,98
1510,98
1500,98
1490,97
1480,97
1470,97
1460,96
1450,96
1440,95
1430,95
1420,94
1410,94
1400,93
1390,93
1380,92
1370,91
1360,91
1350,90
1340,89
1330,89
1320,88
1310,87
1300,86
1290,85
1280,84
1270,84
1260,83
1250,82
1240,81
1230,80
1220,79
1210,77
1200,76
1190,75
1180,74
1170,73
1160,71
1150,70
1140,69
1130,68
1120,66
1110,65
1100,63
1090,62
1080,60
1070,59
1060,57
1050,56
1040,54
1030,53
1020,51
1010,50
1000,48
990,47
980,45
970,44
960,42
950,41
940,39
930,37
920,36
910,34
900,33
890,31
880,30
870,28
860,27
850,25
840,24
830,22
820,21
810,19
800,18
790,16
780,15
770,13
76,12
75,11
74,9
73,8
72,7
71,6
70,5
69,5
68,4
67,3
66,3
65,3
64,2
63,2
620,2
610,2
600,1
590,1
580,1
570,1
560,1
550,1
540,1
530,1
520,1-
510,1-
500,1-
490,1-
480,1-
470,1-
460,1-
450,1-
440,1-
430,1-
420,1-
410,1-
400,1-
